"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.905729703E2,1.285227356E0,8.858578491E-1,4.105811920E0
1.905931243E2,1.936672668E0,1.008003845E0,4.246070251E0
1.906132773E2,2.429447937E0,1.237925720E0,5.355113983E0
1.906334313E2,2.282603302E0,1.841171265E0,6.981481934E0
1.906535853E2,2.065854034E0,3.093018036E0,7.825426941E0
1.906737393E2,3.036435699E0,2.435136108E0,8.979826355E0
1.906938933E2,1.177152100E0,2.016007690E0,1.279149994E1
1.907140473E2,8.445437622E-1,1.800006866E0,1.491558289E1
1.907342013E2,1.354084167E0,1.527274017E0,1.547960999E1
1.907543543E2,-1.188528442E-1,3.825744324E0,1.381746643E1
1.907745083E2,-7.773335266E-1,5.974525909E0,1.065903442E1
1.907946625E2,1.336720276E-1,7.265740814E0,8.803792419E0
1.908148165E2,1.608105927E0,7.739206238E0,9.276958466E0
1.908349705E2,2.164049835E0,7.177723846E0,1.050290909E1
1.908551245E2,1.331780548E0,6.536607056E0,1.079929276E1
1.908752775E2,-2.727328491E-1,5.845045166E0,9.385931854E0
1.908954315E2,-1.393901367E0,5.458099823E0,7.224726105E0
1.909155855E2,-1.562151489E0,5.542823639E0,4.838538208E0
1.909357395E2,-2.183808746E0,4.853357391E0,3.212918701E0
1.909558935E2,-3.313958588E0,3.175496521E0,4.166136475E0
1.909760475E2,-4.123325500E0,1.249002686E0,6.466852112E0
1.909962015E2,-5.004243622E0,-8.891510010E-2,7.863747253E0
1.910163545E2,-5.513334961E0,-5.427713013E-1,8.342601471E0
1.910365085E2,-6.272406464E0,1.315015411E0,7.728278961E0
1.910566625E2,-5.058880005E0,4.810696106E0,5.382806396E0
1.910768165E2,-2.030976563E0,6.253994751E0,8.266709290E0
1.910969705E2,-1.057850189E0,4.822222137E0,1.536060745E1
1.911171245E2,1.736389160E-2,6.888674927E-1,1.944381638E1
1.911372775E2,-1.220112762E0,2.475851440E-1,1.855346786E1
1.911574315E2,-1.006806335E0,2.455793152E0,1.490181152E1
1.911775855E2,4.490661621E-2,4.398603058E0,1.299612442E1
1.911977395E2,6.215075684E-1,5.492378540E0,1.249107468E1
1.912178935E2,3.376977539E-1,4.918172607E0,1.136855896E1
1.912380475E2,-3.499722290E-1,4.157454529E0,9.747430115E0
1.912582005E2,-5.373825073E-1,3.442541199E0,8.543483734E0
1.912783545E2,2.514770508E-2,3.121009827E0,7.335196381E0
1.912985085E2,5.218148804E-1,2.518063660E0,6.163732452E0
1.913186625E2,6.032455444E-1,1.581311646E0,4.982838135E0
1.913388165E2,7.695497131E-1,5.936654663E-1,3.822600861E0
1.913589705E2,1.027912445E0,-5.837860107E-3,3.400628357E0
1.913791245E2,1.863923950E0,-6.227050781E-2,4.103267212E0
1.913992775E2,2.192640381E0,5.275030518E-1,4.788242798E0
1.914194315E2,1.570983124E0,1.814376984E0,4.624782715E0
1.914395855E2,3.204835510E-1,5.096302185E0,4.942871246E0
1.914597395E2,2.052531738E0,8.300988007E0,4.243525543E0
1.914798935E2,2.601440277E0,7.526498566E0,9.102720795E0
1.915000475E2,3.630550232E0,3.762725372E0,1.482621872E1
1.915202005E2,3.020419006E0,2.189945984E-1,2.085612946E1
1.915403545E2,1.131796417E0,2.125579834E0,1.908231812E1
1.915605085E2,8.981323242E-1,3.685485992E0,1.428808777E1
1.915806625E2,2.686912537E-1,5.809868317E0,1.097218323E1
1.916008165E2,-3.252735901E-1,6.366410980E0,9.161099396E0
1.916209705E2,-6.039939880E-1,6.128705292E0,8.216563568E0
1.916411245E2,-9.855505371E-1,5.639522552E0,8.229736176E0
1.916612775E2,-1.487007751E0,4.570296021E0,8.828790436E0
1.916814315E2,-2.092798004E0,3.497327271E0,9.009764099E0
1.917015855E2,-2.622396698E0,2.704426117E0,8.777447205E0
1.917217395E2,-2.960842896E0,2.383792877E0,7.917335815E0
1.917418935E2,-3.205284576E0,2.079176331E0,6.694229279E0
1.917620475E2,-3.753893738E0,1.729653168E0,5.739664307E0
1.917822005E2,-4.196972351E0,1.043480072E0,6.184688873E0
1.918023550E2,-4.404440918E0,2.915936279E-1,7.471413116E0
1.918225090E2,-4.181704102E0,-2.544708252E-3,8.425678711E0
1.918426630E2,-3.728147278E0,2.028282166E-1,9.771230621E0
1.918628170E2,-3.439248047E0,1.055604858E0,1.059227325E1
1.918829710E2,-1.829495544E0,1.942510529E0,1.011102402E1
1.919031250E2,-6.083349609E-1,1.961970062E0,1.228495331E1
1.919232780E2,-5.387297058E-1,7.223977661E-1,1.511915955E1
1.919434320E2,-4.391867065E-1,-5.695655823E-1,1.657024200E1
1.919635860E2,-1.410067749E-1,-1.425785065E0,1.659748535E1
1.919837400E2,7.682025146E-1,-1.003363495E0,1.424856995E1
1.920038940E2,1.384021912E0,-1.664538574E-1,1.228585144E1
1.920240480E2,1.200054474E0,6.855743408E-2,1.109762238E1
1.920442010E2,4.204756165E-1,-3.164419556E-1,1.006656647E1
1.920643550E2,-9.729766846E-3,-4.574487305E-1,8.966504059E0
1.920845090E2,9.535171509E-2,-7.768844604E-2,8.787326660E0
1.921046630E2,4.138893127E-1,5.288502502E-1,8.289312286E0
1.921248170E2,1.802252197E-1,6.511459351E-1,8.399483185E0
1.921449710E2,-4.173321533E-1,3.477268982E-1,9.024732971E0
1.921651240E2,-1.104553070E0,1.395098877E-1,8.957672424E0
1.921852780E2,-1.578018494E0,6.616241455E-2,8.128097534E0
1.922054320E2,-1.670825500E0,6.719526672E-1,7.764204254E0
1.922255860E2,-1.793270874E0,1.550176392E0,8.445437622E0
1.922457400E2,-1.696122894E0,1.854194183E0,9.227860565E0
1.922658940E2,-1.583257599E0,1.762285309E0,1.114387619E1
1.922860480E2,-1.976938934E0,1.909728699E0,1.278566208E1
1.923062010E2,-1.359922028E0,2.089953918E0,1.278521301E1
1.923263550E2,5.131329346E-1,2.802023163E0,1.338202194E1
1.923465090E2,1.662442932E0,3.566333771E0,1.438239166E1
1.923666630E2,2.598596191E0,3.149600372E0,1.504775803E1
1.923868170E2,3.475622406E0,2.841990051E0,1.485151611E1
1.924069710E2,3.312761078E0,2.394121399E0,1.276365784E1
1.924271240E2,2.565814362E0,2.126777344E0,1.034573593E1
1.924472780E2,1.684297485E0,1.782942352E0,8.692274323E0
1.924674320E2,5.254074097E-1,1.378184052E0,7.532037048E0
1.924875860E2,-1.856140137E-1,9.990225220E-1,6.381978607E0
1.925077400E2,-5.640270996E-1,8.437953186E-1,5.448669434E0
1.925278940E2,-4.653822327E-1,6.209088135E-1,5.233117676E0
1.925480470E2,-2.013313293E-1,2.207908630E-1,5.999523926E0
1.925682010E2,1.987866211E-1,-1.893562317E-1,6.500981140E0
1.925883550E2,7.210505676E-1,-4.861889648E-1,7.430697784E0
1.926085090E2,1.177750854E0,-2.960842896E-1,8.318202209E0
1.926286630E2,1.584305420E0,8.387059021E-1,8.656199341E0
1.926488170E2,2.214045868E0,2.843936005E0,8.872200165E0
1.926689710E2,2.366728363E0,4.642595673E0,9.327104187E0
1.926891240E2,2.180814972E0,5.447771301E0,1.079914307E1
1.927092780E2,2.230661316E0,5.156177673E0,1.175340866E1
1.927294320E2,1.547481995E0,4.810546417E0,1.230620911E1
1.927495860E2,9.789642334E-1,5.889951782E0,1.252894592E1
1.927697400E2,1.256636810E0,6.442303162E0,1.173110504E1
1.927898941E2,2.291135559E0,6.924151154E0,1.108624603E1
1.928100471E2,3.313060455E0,6.896758118E0,1.206535995E1
1.928302011E2,2.883453827E0,5.892197113E0,1.300899765E1
1.928503551E2,9.333091736E-1,4.836891632E0,1.249062561E1
1.928705091E2,-6.544390869E-1,4.643942871E0,9.977801056E0
1.928906631E2,-1.181343384E0,4.933141479E0,7.651937714E0
1.929108171E2,-8.448431396E-1,5.097948761E0,7.411387939E0
1.929309701E2,-4.454736328E-1,4.619543610E0,8.888815613E0
1.929511241E2,-3.748205566E-1,3.460503845E0,1.130718658E1
1.929712781E2,-1.238973541E0,1.924847260E0,1.262354919E1
1.929914321E2,-2.727029114E0,9.328601074E-1,1.050874695E1
1.930115861E2,-3.429967346E0,1.307231598E0,7.648943939E0
1.930317401E2,-3.231031036E0,3.486699371E0,5.935307465E0
1.930518941E2,-2.082619171E0,5.333858185E0,6.497687988E0
1.930720471E2,-2.714754639E0,5.094356232E0,1.049362839E1
1.930922011E2,-2.942131805E0,3.611689453E0,1.307456131E1
1.931123551E2,-1.994302826E0,1.201102295E0,1.315988388E1
1.931325091E2,-1.768871613E0,2.123334503E0,1.155836426E1
1.931526631E2,6.219566345E-1,3.364553375E0,1.079704742E1
1.931728171E2,1.845212860E0,3.303031311E0,1.224932739E1
1.931929701E2,2.282303925E0,2.070793762E0,1.195354248E1
1.932131241E2,2.333048401E0,1.179846497E0,1.044438080E1
1.932332781E2,2.866389313E0,1.230740662E0,8.655151520E0
1.932534321E2,3.731590118E0,1.798509979E0,7.033124542E0
1.932735861E2,3.822451172E0,2.029479675E0,4.785249023E0
1.932937401E2,3.597918091E0,1.770518188E0,2.637066193E0
1.933138931E2,3.553610229E0,1.237326965E0,1.850302277E0
1.933340471E2,4.025429077E0,6.893165588E-1,4.741539917E0
1.933542011E2,4.567002869E0,5.938151550E-1,7.104376373E0
1.933743551E2,3.950285339E0,1.396595764E0,7.119494934E0
1.933945091E2,3.096460876E0,3.097059631E0,5.916596375E0
1.934146631E2,1.954485626E0,5.619164886E0,6.094725952E0
1.934348171E2,2.211800537E0,6.908433838E0,7.189549255E0
1.934549701E2,1.235381012E0,6.261329498E0,1.015024246E1
1.934751241E2,7.364685059E-2,5.317542114E0,1.270602768E1
1.934952781E2,2.544708252E-3,3.982618103E0,1.431847458E1
1.935154321E2,-1.078507233E0,5.143603821E0,1.412058609E1
1.935355861E2,-1.591789856E0,8.068820801E0,1.133981873E1
1.935557401E2,-9.642947388E-1,9.070388031E0,1.006012985E1
1.935758931E2,-4.044589233E-1,7.797135773E0,1.141660904E1
1.935960471E2,5.969586182E-1,5.645061035E0,1.359173584E1
1.936162011E2,7.282356262E-1,3.982318726E0,1.447849182E1
1.936363551E2,-8.089178467E-1,3.186573486E0,1.117426300E1
1.936565091E2,-1.670376434E0,3.422033844E0,7.088509369E0
1.936766631E2,-1.759890289E0,4.048181763E0,3.780688019E0
1.936968171E2,-2.041454773E0,3.754342804E0,2.587818604E0
1.937169701E2,-2.675236816E0,2.607278137E0,3.428769836E0
1.937371241E2,-3.246898041E0,1.575473785E0,4.182751923E0
1.937572781E2,-3.509302368E0,9.424401855E-1,3.796704712E0
1.937774321E2,-3.648512878E0,1.228944397E0,3.571273499E0
1.937975853E2,-4.478836212E0,3.901037750E0,3.519181824E0
1.938177393E2,-2.761906586E0,6.307882690E0,4.054768066E0
1.938378923E2,-4.866380310E-1,5.895340576E0,1.157677597E1
1.938580463E2,1.095721436E0,4.950655060E0,2.088516907E1
1.938782003E2,3.262016602E0,2.103276215E0,2.297856583E1
1.938983543E2,1.690285034E0,3.015329590E0,1.960817459E1
1.939185083E2,1.570384369E0,5.146597595E0,1.559472061E1
1.939386623E2,1.419647827E0,6.574927368E0,1.455992249E1
1.939588153E2,1.202299805E0,6.267616425E0,1.348276245E1
1.939789693E2,1.621428223E0,5.436844025E0,1.154983200E1
1.939991233E2,2.015109558E0,4.865033112E0,9.574090576E0
1.940192773E2,2.172582092E0,4.132905579E0,7.573949890E0
1.940394313E2,2.342628479E0,3.204087067E0,5.898633728E0
1.940595853E2,2.193089447E0,2.067949677E0,4.744234314E0
1.940797383E2,1.564396820E0,7.286846924E-1,3.909570007E0
1.940998923E2,9.217831421E-1,-4.583468628E-1,3.130739594E0
1.941200463E2,9.577084351E-1,-6.189628601E-1,2.637964325E0
1.941402003E2,2.113155670E0,4.272116089E-1,3.006198578E0
1.941603543E2,3.060236206E0,1.795965271E0,4.257596283E0
1.941805083E2,2.694247284E0,2.815944214E0,6.010750580E0
1.942006623E2,1.749412079E0,3.944746857E0,5.484894104E0
1.942208153E2,2.190395050E0,4.272415466E0,6.877897339E0
1.942409693E2,2.702480164E0,4.872218170E0,1.089209976E1
1.942611233E2,4.005819855E0,3.191513214E0,1.413720154E1
1.942812773E2,2.134112091E0,4.134552155E0,1.509790375E1
1.943014313E2,1.470841370E0,6.581214294E0,1.160985718E1
1.943215853E2,2.070344696E0,8.139623566E0,9.433233490E0
1.943417383E2,2.126178589E0,8.341853027E0,9.408534851E0
1.943618923E2,1.434916077E0,6.455326080E0,1.066098038E1
1.943820463E2,2.158511353E-1,4.625082092E0,1.130404312E1
1.944022003E2,-9.815089417E-1,3.788172455E0,9.749525757E0
1.944223543E2,-1.478325806E0,3.925886078E0,6.898404694E0
1.944425083E2,-1.293160858E0,3.959865417E0,6.321055298E0
1.944626613E2,-1.748364258E0,3.170856171E0,8.490793304E0
1.944828153E2,-2.476749573E0,2.353705444E0,9.338929596E0
1.945029693E2,-2.825673981E0,2.199675751E0,8.023165741E0
1.945231233E2,-2.608325958E0,2.474055176E0,6.299949188E0
1.945432773E2,-2.621498566E0,2.758314056E0,5.752387848E0
1.945634313E2,-3.432961121E0,2.919229431E0,6.449338531E0
1.945835843E2,-4.697980499E0,4.657714233E0,6.748865662E0
1.946037383E2,-2.990630951E0,5.979016571E0,6.909032593E0
1.946238923E2,-8.487350464E-1,6.453679504E0,1.205637863E1
1.946440463E2,1.060843964E0,3.873644714E0,1.607567047E1
1.946642003E2,2.938389587E-1,2.358345795E0,1.627011612E1
1.946843543E2,-2.142045593E-1,3.451672211E0,1.406789566E1
1.947045083E2,-1.764830017E-1,4.326602783E0,1.348919907E1
1.947246613E2,-2.137554932E-1,5.070555725E0,1.217687805E1
1.947448153E2,9.674382019E-1,5.245092773E0,1.063448547E1
1.947649693E2,1.514550476E0,5.199288025E0,9.502689056E0
1.947851233E2,1.290316772E0,3.382366333E0,9.366472321E0
1.948052781E2,1.197958832E0,1.749412079E0,9.308093719E0
1.948254321E2,1.597028961E0,1.290466461E0,8.331075439E0
1.948455851E2,2.212249603E0,1.026565247E0,6.987918549E0
1.948657391E2,2.014810181E0,5.429209900E-1,5.447022858E0
1.948858931E2,1.883682861E0,6.780899048E-2,4.256249084E0
1.949060471E2,2.146985321E0,-3.818559265E-1,4.556973724E0
1.949262011E2,2.644400940E0,-3.860472107E-1,5.985902252E0
1.949463551E2,3.087778931E0,2.766247559E-1,6.606811066E0
1.949665081E2,2.791544952E0,2.182760925E0,6.194568329E0
1.949866621E2,2.771037598E0,5.120252380E0,4.326153717E0
1.950068161E2,3.557801514E0,5.240602112E0,6.182293854E0
1.950269701E2,2.461032257E0,3.310964813E0,1.071187454E1
1.950471241E2,1.795815582E0,6.773414612E-1,1.498009872E1
1.950672781E2,-4.730163574E-2,3.192860413E0,1.558199707E1
1.950874321E2,1.347348175E0,5.687872009E0,1.087219116E1
1.951075851E2,3.018473053E0,7.589218140E0,1.010294083E1
1.951277391E2,3.182382202E0,6.343658295E0,1.289792862E1
1.951478931E2,3.008892975E0,4.147425385E0,1.444451248E1
1.951680471E2,2.005080414E0,3.087479553E0,1.448597626E1
1.951882011E2,1.004860382E0,2.823578339E0,1.178334641E1
1.952083551E2,-1.049317932E-1,2.942730560E0,9.198521576E0
1.952285081E2,-6.894662476E-1,2.656974792E0,7.234306183E0
1.952486621E2,-7.991880798E-1,2.339335327E0,6.675368500E0
1.952688161E2,-3.691323853E-1,1.888472900E0,6.858288116E0
1.952889701E2,-2.544708252E-3,1.354233856E0,6.918313293E0
1.953091241E2,2.920426941E-1,8.907975769E-1,7.045997772E0
1.953292781E2,7.906558228E-1,1.252894592E0,6.773115234E0
1.953494311E2,1.042432251E0,2.230212250E0,5.668861542E0
1.953695851E2,6.090834045E-1,4.098776550E0,4.688550110E0
1.953897391E2,5.448669434E-1,5.645210724E0,4.538562012E0
1.954098931E2,2.059118042E0,5.220693512E0,8.320447540E0
1.954300471E2,2.407743073E0,3.514242096E0,1.346465012E1
1.954502011E2,3.187172241E0,-2.020797729E-2,1.653461609E1
1.954703541E2,1.993704071E0,1.968406677E-1,1.634391266E1
1.954905081E2,2.396067352E0,1.546883240E0,1.397299301E1
1.955106621E2,2.008074188E0,2.125729523E0,1.330268692E1
1.955308161E2,1.897304535E0,1.950893097E0,1.305989182E1
1.955509701E2,2.100731506E0,1.724563751E0,1.245859222E1
1.955711241E2,2.046095123E0,1.839225311E0,1.129012207E1
1.955912781E2,1.866468658E0,1.681603088E0,1.016536102E1
1.956114311E2,1.585951996E0,1.146914978E0,9.247769165E0
1.956315851E2,1.614392853E0,8.104147339E-1,8.315058746E0
1.956517391E2,1.685195618E0,4.044589233E-1,7.331753540E0
1.956718931E2,1.841919708E0,3.472778320E-2,6.614445190E0
1.956920471E2,2.074685669E0,-3.423381042E-1,6.171216888E0
1.957122011E2,2.476749573E0,-5.194198608E-1,6.466552734E0
1.957323541E2,2.392474823E0,-4.822970581E-1,6.566993866E0
1.957525081E2,2.495760040E0,-3.053649902E-2,7.186256104E0
1.957726621E2,2.211800537E0,8.887019348E-1,7.947572937E0
1.957928158E2,2.377505951E0,2.357447662E0,8.267757111E0
1.958129698E2,3.157683563E0,2.226619720E0,9.190438385E0
1.958331238E2,2.784210205E0,1.149459686E0,1.207284439E1
1.958532768E2,1.647773438E0,5.382806396E-1,1.421174652E1
1.958734308E2,4.255650330E-1,1.298100586E0,1.329116089E1
1.958935848E2,5.303471375E-1,2.523452454E0,1.160955780E1
1.959137388E2,5.559439087E-1,3.188968506E0,1.128173950E1
1.959338928E2,3.912863159E-1,2.621049500E0,1.209739334E1
1.959540468E2,3.918850708E-1,2.347268829E0,1.225067459E1
1.959741998E2,5.739065552E-1,2.180515594E0,1.163620239E1
1.959943538E2,6.695576477E-1,2.001787262E0,1.074256073E1
1.960145078E2,4.070036316E-1,1.860331421E0,9.706265717E0
1.960346618E2,2.421963501E-1,2.019151154E0,8.797804871E0
1.960548158E2,1.314266968E-1,2.143392792E0,8.291707306E0
1.960749698E2,-2.522254944E-1,1.766775970E0,8.083789673E0
1.960951228E2,-4.393363953E-1,1.420995026E0,8.166717224E0
1.961152768E2,-5.200186157E-1,1.436113586E0,8.538244629E0
1.961354308E2,-8.138575745E-1,1.645528107E0,9.103768616E0
1.961555848E2,-9.695338440E-1,2.037712555E0,9.361532593E0
1.961757388E2,-9.572593689E-1,2.662513275E0,8.676257629E0
1.961958928E2,-7.006929016E-1,3.362906799E0,7.858059082E0
1.962160468E2,-6.194119263E-1,3.617377625E0,7.871680756E0
1.962361998E2,-4.504133606E-1,3.259172516E0,9.282496948E0
1.962563538E2,-5.954617310E-1,3.088227997E0,1.029259644E1
1.962765078E2,-8.533753967E-1,3.559148712E0,9.756710815E0
1.962966618E2,-2.109114075E-1,4.508773956E0,9.247170410E0
1.963168158E2,1.320254517E-1,4.803061981E0,1.029409332E1
1.963369698E2,-7.020401001E-2,4.213138733E0,1.194665680E1
1.963571228E2,-7.259902954E-1,3.730841675E0,1.293999115E1
1.963772768E2,-1.243613892E0,3.675157471E0,1.219199661E1
1.963974308E2,-1.667831726E0,4.217479706E0,1.084988754E1
1.964175848E2,-2.102677460E0,4.937632141E0,1.045111679E1
1.964377388E2,-2.198328552E0,5.196893005E0,1.032133667E1
1.964578928E2,-1.899549866E0,5.167104950E0,1.026460464E1
1.964780458E2,-1.378932495E0,4.936584320E0,1.025562332E1
1.964981998E2,-1.067280579E0,4.036655731E0,1.013736923E1
1.965183538E2,-7.285350037E-1,2.766097870E0,9.632768555E0
1.965385078E2,1.661544800E-1,1.999242554E0,8.980125732E0
1.965586618E2,8.915460205E-1,1.517244873E0,8.059540100E0
1.965788158E2,1.539099426E0,9.741741943E-1,7.260950775E0
1.965989688E2,2.291434937E0,3.546125793E-1,7.324269104E0
1.966191228E2,3.415148163E0,7.035369873E-2,7.995473328E0
1.966392768E2,4.433630219E0,6.882687378E-1,7.962392120E0
1.966594308E2,5.593268738E0,1.811981964E0,7.406597900E0
1.966795848E2,5.484145660E0,2.177821198E0,7.291636963E0
1.966997388E2,3.994892578E0,1.900597687E0,8.292306061E0
1.967198918E2,3.850592651E0,2.517913971E0,1.045994843E1
1.967400458E2,4.353995819E0,3.897594910E0,1.161105469E1
1.967601998E2,3.606600037E0,5.059778137E0,1.106603806E1
1.967803538E2,1.922152863E0,6.455176392E0,1.031115784E1
1.968005083E2,5.319937134E-1,7.418423309E0,9.739197235E0
1.968206623E2,-3.532653809E-2,7.634424133E0,1.011536499E1
1.968408153E2,3.906875610E-2,6.832242279E0,1.116677856E1
1.968609692E2,-8.900491333E-1,5.817502441E0,1.115180969E1
1.968811232E2,-1.632056122E0,5.150639191E0,9.672735443E0
