Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Activity
18.9752779,51.99290342,5.940152938,27.14004142,0.0,,4.609406404,3.546534878,sitting
19.0835762,51.99326133,5.938795237,20.90237052,0.0,,4.609407714,3.546533175,sitting
19.16744578,51.99280158,5.939465035,25.66061027,0.0,,4.609406341,3.54653496,sitting
19.20786071,51.99325211,5.938791465,22.35604484,0.0,,4.609407693,3.546533202,sitting
19.30632675,51.9925632,5.93979788,26.86666495,0.0,,4.609405648,3.54653586,sitting
19.36125743,51.99406758,5.937729394,24.26278312,0.0,,4.609410072,3.54653011,sitting
19.49613297,51.99403519,5.937876748,31.88424308,0.0,,5.790484568,8.0,sitting
19.50223684,51.99325668,5.938795321,22.01314933,0.0,,4.655447151,3.485878491,sitting
19.71074462,51.99329117,5.938814599,24.92635734,0.0,,4.609407784,3.546533084,sitting
19.7856915,51.99258265,5.939855464,23.33730704,0.0,,4.280141155,4.066107163,sitting
19.97527945,51.99290342,5.940152938,27.14004142,0.0,,4.609406404,3.546534877,sitting
20.08358383,51.99326133,5.938795237,20.90237052,0.0,,4.609407714,3.546533175,sitting
20.16745389,51.99280158,5.939465035,25.66061027,0.0,,4.60940634,3.546534961,sitting
20.20785391,51.99325203,5.938791465,22.35775382,0.0,,4.609407693,3.546533202,sitting
20.30633187,51.9925632,5.93979788,26.86666495,0.0,,4.609405648,3.54653586,sitting
20.36124516,51.99406758,5.937729394,24.26278312,0.0,,4.609410072,3.54653011,sitting
20.49612439,51.99403531,5.93787658,31.84444816,0.0,,5.56020025,8.0,sitting
20.50222623,51.99325664,5.938795321,22.03939445,0.0,,4.637658431,3.509510124,sitting
20.71073365,51.99329117,5.938814599,24.92635734,0.0,,4.609407784,3.546533084,sitting
20.78569531,51.99258265,5.939855464,23.33730704,0.0,,4.609405683,3.546535814,sitting
20.97526634,51.99290342,5.940152938,27.14004142,0.0,,4.609406404,3.546534877,sitting
21.08357859,51.99326133,5.938795237,20.90237052,0.0,,4.609407714,3.546533175,sitting
21.1674614,51.99280158,5.939465035,25.66061027,0.0,,4.609406339,3.546534962,sitting
21.20784748,51.99325203,5.938791465,22.36336906,0.0,,4.609407693,3.546533202,sitting
21.30632114,51.99255972,5.939794863,26.87112052,0.0,,4.609405644,3.546535865,sitting
21.3612324,51.99406758,5.937729394,24.26278312,0.0,,4.609410072,3.54653011,sitting
21.49611211,51.99403531,5.93787658,31.84444816,0.0,,5.446611406,8.0,sitting
21.50221634,51.99325664,5.938795321,22.07491691,0.0,,4.615511447,3.538586033,sitting
21.7107228,51.99329117,5.938814599,24.92635734,0.0,,4.609407784,3.546533084,sitting
21.78568375,51.99258265,5.939855464,23.33730704,0.0,,4.609405683,3.546535815,sitting
21.97525382,51.99290342,5.940152938,27.14004142,0.0,,4.609406404,3.546534877,sitting
22.08357155,51.99326133,5.938795237,20.90237052,0.0,,4.609407715,3.546533174,sitting
22.16746771,51.99280158,5.939465035,25.66061027,0.0,,4.609406338,3.546534963,sitting
22.20784116,51.99325203,5.938791465,22.36715323,0.0,,4.609407693,3.546533202,sitting
22.30630708,51.99255972,5.939794863,26.87112052,0.0,,4.609405644,3.546535865,sitting
22.36122036,51.99406758,5.937729394,24.26278312,0.0,,4.609410072,3.54653011,sitting
22.49609947,51.99403531,5.93787658,31.84444816,0.0,,5.34197935,6.0,sitting
22.50220537,51.99325664,5.938795321,22.07748038,0.0,,4.61499175,3.539263791,sitting
22.71071148,51.99329117,5.938814599,24.92635734,0.0,,4.609407784,3.546533084,sitting
22.78567135,51.99258265,5.939855464,23.33730704,0.0,,4.609405683,3.546535815,sitting
22.97524047,51.9929051,5.940159308,27.58767325,0.0,,4.609406405,3.546534876,sitting
23.08356535,51.99326133,5.938795237,20.90237052,0.0,,4.609407716,3.546533173,sitting
23.16747236,51.99280158,5.939465035,25.66061027,0.0,,4.609406337,3.546534964,sitting
23.20783556,51.99325203,5.938791465,22.36959464,0.0,,4.609407693,3.546533202,sitting
23.30629265,51.99255972,5.939794863,26.87112052,0.0,,4.609405644,3.546535865,sitting
23.36120737,51.99406758,5.937729394,24.26278312,0.0,,4.609410072,3.54653011,sitting
23.49608672,51.99403531,5.93787658,31.84444816,0.0,,5.377191501,6.0,sitting
23.50219464,51.99325664,5.938795321,22.07748038,0.0,,4.618355549,3.534873272,sitting
23.71069992,51.99329117,5.938814599,24.92635734,0.0,,4.609407784,3.546533084,sitting
23.78566027,51.99258193,5.939853201,23.4197045,0.0,,4.609405682,3.546535815,sitting
23.97522759,51.9929051,5.940159308,27.58767325,0.0,,4.609406405,3.546534876,sitting
24.08355916,51.99326133,5.938795237,20.90237052,0.0,,4.609407716,3.546533172,sitting
24.16747653,51.99280158,5.939465035,25.66061027,0.0,,4.609406336,3.546534965,sitting
24.20782816,51.99325207,5.938791465,22.37417228,0.0,,4.609407693,3.546533202,sitting
24.30627859,51.99255972,5.939794863,26.87112052,0.0,,4.609405644,3.546535866,sitting
24.36119533,51.99406758,5.937729394,24.26278312,0.0,,4.609410072,3.54653011,sitting
24.49607432,51.99403548,5.937876413,31.75637443,0.0,,5.244532875,6.0,sitting
24.50218427,51.99325659,5.938795321,22.09164054,0.0,,4.609407703,3.546533188,sitting
24.71068943,51.99329117,5.938814599,24.92635734,0.0,,4.609407784,3.546533084,sitting
24.78564835,51.99258189,5.939853033,23.41738517,0.0,,4.609405682,3.546535815,sitting
24.97521424,51.9929051,5.940159308,27.58767325,0.0,,4.609406405,3.546534876,sitting
25.08355212,51.99326133,5.938795237,20.90237052,0.0,,4.609407716,3.546533172,sitting
25.16747952,51.99280158,5.939465035,25.66061027,0.0,,4.609406337,3.546534965,sitting
25.20782185,51.99325207,5.938791465,22.37588126,0.0,,4.609407693,3.546533202,sitting
25.30626452,51.99255951,5.939794695,26.85970695,0.0,,4.609405643,3.546535866,sitting
25.36118269,51.99406758,5.937729394,24.26278312,0.0,,4.609410071,3.546530111,sitting
25.49606216,51.99403544,5.93787658,31.74966056,0.0,,5.231415211,6.0,sitting
25.50217438,51.99325659,5.938795237,22.11220939,0.0,,4.609407703,3.546533188,sitting
25.71067822,51.99329117,5.938814599,24.92635734,0.0,,4.609407784,3.546533084,sitting
25.78563726,51.99258185,5.939852782,23.42580802,0.0,,4.609405682,3.546535815,sitting
25.97520185,51.9929051,5.940159308,27.58767325,0.0,,4.609406405,3.546534875,sitting
26.08354473,51.99326133,5.938795237,20.90237052,0.0,,4.609407716,3.546533172,sitting
26.16748667,51.99280158,5.939465035,25.66061027,0.0,,4.609406335,3.546534967,sitting
26.20781493,51.99325207,5.938791465,22.37807853,0.0,,4.609407693,3.546533202,sitting
26.30625081,51.99255951,5.939794695,26.85970695,0.0,,4.609405643,3.546535866,sitting
26.36117113,51.99406758,5.937729394,24.26278312,0.0,,4.609410071,3.546530111,sitting
26.4960494,51.99403544,5.93787658,31.74966056,0.0,,5.140661477,6.0,sitting
26.50216353,51.99325659,5.938795237,22.11220939,0.0,,4.609407703,3.546533188,sitting
26.71066785,51.99329117,5.938814599,24.92635734,0.0,,4.609407783,3.546533085,sitting
26.78562534,51.99258185,5.939852782,23.42580802,0.0,,4.28014115,4.06610716,sitting
26.97518861,51.9929051,5.940159308,27.58767325,0.0,,4.609406405,3.546534876,sitting
27.08353817,51.99326133,5.938795237,20.90237052,0.0,,4.280152499,4.066108998,sitting
27.16748345,51.99278494,5.939460928,25.9528466,0.0,,4.609406313,3.546534996,sitting
27.20780826,51.99325207,5.938791465,22.38106925,0.0,,4.609407693,3.546533202,sitting
27.30623662,51.99255951,5.939794695,26.85970695,0.0,,4.609405643,3.546535866,sitting
27.36115909,51.99406758,5.937729394,24.26278312,0.0,,4.609410071,3.546530112,sitting
27.49603689,51.99403544,5.93787658,31.74966056,0.0,,4.984013438,6.0,sitting
27.50215268,51.99325366,5.938815878,21.48510374,0.02015271921,,4.78501535,3.305777538,sitting
27.71065629,51.99328815,5.938807391,23.74813468,0.0,,4.609407779,3.54653309,sitting
27.78561318,51.99258185,5.939852782,23.42580802,0.0,,4.329007716,4.046085136,sitting
27.9751749,51.9929051,5.940159308,27.58767325,0.0,,4.609406405,3.546534876,sitting
28.08353007,51.99326133,5.938795237,20.90237052,0.0,,4.280152502,4.066109,sitting
28.16748369,51.99278494,5.939460928,25.9528466,0.0,,4.609406313,3.546534996,sitting
28.20780051,51.99325207,5.938791465,22.38290031,0.0,,4.609407693,3.546533202,sitting
28.30622256,51.99255939,5.939794611,26.85683829,0.0,,4.609405643,3.546535866,sitting
28.36114693,51.99406758,5.937729394,24.26278312,0.0,,4.60941007,3.546530113,sitting
28.4960252,51.9940351,5.937876245,31.64199454,0.0,,5.046133636,6.0,sitting
28.50214255,51.99325379,5.938819418,21.49368178,0.02839100508,,4.790696309,3.297539372,sitting
28.71064556,51.99328815,5.938807391,23.74813468,0.0,,4.609407778,3.546533091,sitting
28.78560114,51.99258185,5.939852782,23.42580802,0.0,,4.376770275,6.001066947,sitting
28.97516263,51.9929051,5.940159308,27.58767325,0.0,,4.609406405,3.546534876,sitting
29.08352292,51.99326133,5.938795237,20.90237052,0.0,,4.609407717,3.546533171,sitting
29.16748309,51.99278494,5.939460928,25.9528466,0.0,,4.609406313,3.546534995,sitting
29.20779264,51.99325207,5.938791465,22.3837548,0.0,,4.609407693,3.546533202,sitting
29.3062098,51.99255939,5.939794611,26.85976798,0.0,,4.609405643,3.546535866,sitting
29.36113405,51.99406758,5.937729394,24.26278312,0.0,,4.609410069,3.546530114,sitting
29.49601221,51.9940351,5.937876245,31.64199454,0.0,,5.195844605,6.0,sitting
29.50213194,51.9932523,5.938824702,21.56591084,0.04649136307,,4.794668636,3.291760882,sitting
29.71063483,51.99328815,5.938807391,23.74813468,0.0,,4.609407778,3.546533092,sitting
