"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.251844218E0,-2.691925503E-3,7.613363266E0,6.237191200E0
4.271603177E0,1.316052489E-2,7.637590885E0,6.209673882E0
4.291368646E0,4.666004330E-2,7.612166882E0,6.150750637E0
4.311121927E0,-2.542374097E-2,7.632805347E0,6.147161484E0
4.330880885E0,-6.011966988E-2,7.650751114E0,6.143572330E0
4.350627656E0,-1.199402362E-1,7.689036369E0,6.131608009E0
4.370727656E0,-8.045866340E-2,7.650751114E0,6.113661766E0
4.390486614E0,-6.131608039E-2,7.657929897E0,6.176174164E0
4.409888385E0,-3.499503061E-2,7.647161961E0,6.074180126E0
4.429638802E0,-8.763712645E-2,7.706982613E0,6.068198204E0
4.449397760E0,-5.653043464E-2,7.647161961E0,6.032305717E0
4.469175833E0,-3.619144112E-2,7.634001732E0,6.090929985E0
4.488919062E0,-7.477570791E-3,7.631608486E0,6.149554253E0
4.508678021E0,-4.576273263E-2,7.643572807E0,6.123233318E0
4.528463437E0,-6.969095767E-2,7.626822948E0,6.251548290E0
4.548200677E0,-9.840483218E-2,7.659126282E0,6.348457813E0
4.567959635E0,-1.106680464E-2,7.653144360E0,6.366403580E0
4.587723385E0,-4.695914313E-2,7.619345665E0,6.112465382E0
4.607457083E0,-4.336991161E-2,7.599006653E0,5.986842155E0
4.627216041E0,-6.131608039E-2,7.597810268E0,6.201299191E0
4.646980677E0,-4.217349738E-2,7.618149281E0,6.179763794E0
4.666773125E0,-2.662015148E-2,7.693821907E0,6.045466423E0
4.686532135E0,-4.576273263E-2,7.659126282E0,6.000002861E0
4.706598437E0,-1.115653589E-1,7.630412102E0,6.003592014E0
4.726006458E0,-1.522433460E-1,7.674679756E0,6.040680885E0
4.745765416E0,-2.156531364E-1,7.711768150E0,6.055037498E0
4.765551406E0,-1.175474152E-1,7.661519051E0,6.204888344E0
4.785287656E0,-1.247258782E-1,7.626822948E0,6.214459419E0
4.805046614E0,-1.211366430E-1,7.616952896E0,6.276672840E0
4.824782812E0,-4.695914313E-2,7.572685242E0,6.313761711E0
4.844547291E0,-7.088737190E-2,7.588238716E0,6.222834587E0
4.864306250E0,-9.601201117E-2,7.645965576E0,6.089733601E0
4.884078333E0,-1.462612897E-1,7.624131203E0,6.052644730E0
4.903837968E0,-1.498505175E-1,7.600203037E0,6.165107727E0
4.923596927E0,-1.618146300E-1,7.582256794E0,6.227620125E0
4.943329896E0,-2.335993052E-1,7.631608486E0,6.325725555E0
4.963082500E0,-1.809572130E-1,7.609774113E0,6.408277988E0
4.982841458E0,-1.522433460E-1,7.591827869E0,6.399903297E0
5.002587500E0,-1.259222925E-1,7.532007694E0,6.372385979E0
5.022399687E0,-9.122636169E-2,7.511668682E0,6.308976173E0
5.042158646E0,-9.481559694E-2,7.522436142E0,6.240780354E0
5.061891771E0,-1.534397453E-1,7.515257835E0,6.287440777E0
5.081626250E0,-2.144567221E-1,7.583453178E0,6.310172558E0
5.101384739E0,-2.084746659E-1,7.582256794E0,6.292226315E0
5.121163281E0,-1.450648755E-1,7.546364307E0,6.203691959E0
5.140896875E0,-1.163510010E-1,7.543971539E0,6.123233318E0
5.160655416E0,-1.785643846E-1,7.552346706E0,6.204888344E0
5.180442708E0,-2.120639086E-1,7.576274872E0,6.264708996E0
5.200185729E0,-2.324029058E-1,7.517650604E0,6.416653156E0
5.219944166E0,-1.307079345E-1,7.466204643E0,6.440880299E0
5.239687968E0,-9.601201117E-2,7.481758118E0,6.325725555E0
5.259438750E0,-4.217349738E-2,7.439883709E0,6.196513176E0
5.279197239E0,-1.223330572E-1,7.473383427E0,6.250351906E0
5.298939739E0,-1.283151209E-1,7.470990658E0,6.297011852E0
5.318696302E0,-1.331007630E-1,7.514061451E0,6.330511570E0
5.338454791E0,-1.677966863E-1,7.503293514E0,6.375975132E0
5.358207448E0,-1.402792335E-1,7.496115208E0,6.445665836E0
5.377952760E0,-9.601201117E-2,7.467401028E0,6.409474373E0
5.397711250E0,-8.524430543E-2,7.443472862E0,6.269494534E0
5.417481458E0,-2.422732860E-2,7.443472862E0,6.239583969E0
5.437248802E0,-1.007976532E-1,7.474579811E0,6.267101765E0
5.457007291E0,-1.259222925E-1,7.448258877E0,6.494719028E0
5.476765885E0,-1.594218016E-1,7.473383427E0,6.480361938E0
5.496549791E0,-1.295115203E-1,7.474579811E0,6.405885220E0
5.516308281E0,-1.055833027E-1,7.442276478E0,6.384349823E0
5.536022708E0,-1.271187067E-1,7.455437183E0,6.401099682E0
5.555773646E0,-1.223330572E-1,7.441080093E0,6.302993774E0
5.575532135E0,-1.773679852E-1,7.468597889E0,6.483951092E0
5.595299166E0,-1.342971772E-1,7.444669247E0,6.475576401E0
5.615064375E0,-9.481559694E-2,7.451848030E0,6.434898376E0
5.634822864E0,-1.091725305E-1,7.439883709E0,6.334100723E0
5.654552656E0,-1.091725305E-1,7.455437183E0,6.366403580E0
5.674312135E0,-1.498505175E-1,7.487740040E0,6.323332787E0
5.694070625E0,-1.869392693E-1,7.530810833E0,6.285048008E0
5.713829739E0,-1.618146300E-1,7.463811874E0,6.445665836E0
5.733574427E0,-1.821536273E-1,7.444669247E0,6.547360897E0
5.753332916E0,-7.328019291E-2,7.431509018E0,6.397510529E0
5.773096458E0,-7.567301393E-2,7.370491982E0,6.346064568E0
5.792854687E0,-4.695914313E-2,7.378866673E0,6.462415695E0
5.812613177E0,-1.055833027E-1,7.420741081E0,6.436094761E0
5.832393281E0,-1.271187067E-1,7.414759159E0,6.485147476E0
5.852138750E0,-3.619144112E-2,7.345067978E0,6.573681831E0
5.871897239E0,-4.217349738E-2,7.357032299E0,6.469594002E0
5.891661041E0,-3.260220960E-2,7.372884750E0,6.305386543E0
5.911410052E0,-3.858426586E-2,7.343871593E0,6.317350864E0
5.931168541E0,-8.763712645E-2,7.417151928E0,6.300601006E0
5.950944062E0,-1.342971772E-1,7.409973621E0,6.386742592E0
5.970668698E0,-1.426720470E-1,7.401598454E0,6.510272026E0
5.990427187E0,-1.127617657E-1,7.403991699E0,6.530611038E0
6.010199948E0,-1.331007630E-1,7.424330235E0,6.501897335E0
6.029948281E0,-1.127617657E-1,7.408777237E0,6.534200668E0
6.049706771E0,-1.307079345E-1,7.426723480E0,6.385546207E0
6.069441927E0,-1.342971772E-1,7.460222721E0,6.281458378E0
6.089186927E0,-1.079761237E-1,7.408777237E0,6.389135361E0
6.108944896E0,-9.960123897E-2,7.398009300E0,6.468397617E0
6.128734635E0,-6.610172242E-2,7.343871593E0,6.559325218E0
6.148503229E0,-7.567301393E-2,7.383652687E0,6.519843578E0
6.168261146E0,-8.644071966E-2,7.380063057E0,6.540182590E0
6.187973437E0,-8.045866340E-2,7.372884750E0,6.456433773E0
6.207732343E0,-6.969095767E-2,7.405188084E0,6.403492451E0
6.227490312E0,-5.892325938E-2,7.399205685E0,6.378367901E0
6.247304010E0,-1.127617657E-1,7.457829952E0,6.384349823E0
6.267022916E0,-1.570289880E-1,7.425527096E0,6.584449768E0
6.286780937E0,-1.402792335E-1,7.365706444E0,6.591628075E0
6.306550260E0,3.589233849E-3,7.357032299E0,6.511468410E0
6.326313281E0,-2.542374097E-2,7.349853992E0,6.524629116E0
6.346071250E0,-5.772684515E-2,7.329514980E0,6.468397617E0
6.365817812E0,-1.319043487E-1,7.389634609E0,6.571289062E0
6.385553125E0,-6.251249462E-2,7.370491982E0,6.566503525E0
6.405311146E0,3.589233849E-3,7.324729443E0,6.411867142E0
6.425079323E0,-3.379862010E-2,7.376473904E0,6.397510529E0
6.444843385E0,-9.601201117E-2,7.414759159E0,6.440880299E0
6.464601354E0,-9.361918271E-2,7.395616531E0,6.475576401E0
